都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,医療機関の種類,住所,方書,緯度,経度,電話番号,内線番号,FAX番号,法人番号,法人の名称,医療機関コード,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,時間外における対応,診療科目,病床数,URL,備考
131148,1,東京都,中野区,医療法人社団　健朗会　三五医院,イリョウホウジンシャダン　ケンロウカイ　サンゴイイン,無床診療所,東京都中野区南台2-6-8,,35.681717,139.671204,03-3381-0313,,,,,,,,,,,内科;神経内科,0,,
131148,2,東京都,中野区,白石医院,シライシイイン,有床診療所,東京都中野区南台2-18-10,,35.683224,139.671509,03-3384-5255,,,,,,,,,,,内科;皮膚科;小児科;精神科;外科;泌尿器科;整形外科;産婦人科,2,,
131148,3,東京都,中野区,医療法人社団　三峰会　宮下医院, イリョウホウジンシャダン　ミツミネカイ　ミヤシタイイン,無床診療所,東京都中野区南台2-24-12,,35.683605,139.671494,03-5385-3050,,,,,,,,,,,内科;小児科;外科,0,,
131148,4,東京都,中野区,医療法人社団　二人会　クリニカル南台,イリョウホウジンシャダン　フタリカイ　クリニカルミナミダイ,無床診療所,東京都中野区南台2-45-10,,35.685516,139.671539,03-3381-8681,,,,,,,,,,,皮膚科;小児科;外科;リハビリ科;麻酔科;呼吸器内科;循環器内科;消化器内科（胃腸内科）;糖尿病内科（代謝内科）;ペインクリニック,0,,
131148,5,東京都,中野区,整形外科峰岸クリニック,セイケイゲカミネギシクリニック,無床診療所,東京都中野区南台2-49-10,,35.686111,139.670364,03-3384-5947,,,,,,,,,,,整形外科;リハビリ科;麻酔科,0,,
131148,6,東京都,中野区,白川クリニック,シラカワクリニック,無床診療所,東京都中野区南台2-51-8,グランルージュ中野南台1階,35.685276,139.669266,03-6382-5011,,,,,,,,,,,内科;内視鏡内科;消化器科（胃腸内科）;外科;肛門外科,0,,
131148,7,東京都,中野区,医療法人社団　育寿会　高橋医院,イリョウホウジンシャダン　イクジュカイ　タカハシイイン,無床診療所,東京都中野区南台3-3-3,,35.684059,139.668777,03-3381-3238,,,,,,,,,,,内科;皮膚科;小児科;外科,0,,
131148,8,東京都,中野区,皮膚科こかじクリニック,ヒフカコカジクリニック,無床診療所,東京都中野区南台3-6-17,クリスタルコート88 1F,35.686096,139.668228,03-3383-5033,,,,,,,,,,,皮膚科;アレルギー科,0,,
131148,9,東京都,中野区,たまつ小児科医院,タマツショウニカイイン,無床診療所,東京都中野区南台3-15-5,岡山ビル1階,35.683754,139.667191,03-3380-0325,,,,,,,,,,,小児科,0,,
131148,10,東京都,中野区,医療法人社団　多田町診療所,イリョウホウジンシャダン　タダマチシンリョウジョ,無床診療所,東京都中野区南台3-33-5,,35.683548,139.666031,03-3381-3191,,,,,,,,,,,内科;呼吸器科;アレルギー科;小児科,0,,
131148,11,東京都,中野区,南台寺尾クリニック　内科・小児科,ミナミダイテラオクリニック　ナイカ・ショウニカ,無床診療所,東京都中野区南台3-37-27,シルクれじでんす1階,35.683651,139.665436,03-3381-7755,,,,,,,,,,,内科;小児科;循環器内科,0,,
131148,12,東京都,中野区,山田クリニック,ヤマダクリニック,無床診療所,東京都中野区南台5-32-2,,35.683525,139.659729,03-3381-5213,,,,,,,,,,,内科;消化器内科（胃腸内科）;外科,0,,
131148,13,東京都,中野区,やよい町こども医院,ヤヨイチョウコドモイイン,無床診療所,東京都中野区弥生町1-8-11,東京計量器中野坂上ビル1階,35.691647,139.681595,03-6300-4790,,,,,,,,,,,小児科;内科;アレルギー科,0,,
131148,14,東京都,中野区,医療法人社団　幸芳会　藤間産婦人科医院,イリョウホウジンシャダン　コウホウカイ　トウマサンフジンカイイン,無床診療所,東京都中野区弥生町1-17-1,1階及び2階,35.689487,139.68013,03-3372-5700,,,,,,,,,,,内科;小児科;産婦人科,0,,
131148,15,東京都,中野区,医療法人社団ソレイユ　平澤クリニック,イリョウホウジンシャダンソレイユ　ヒラサワクリニック,無床診療所,東京都中野区弥生町1-54-12,豊久ビル1階,35.691505,139.677872,03-5304-5790,,,,,,,,,,,内科;小児科;呼吸器内科;循環器内科;消化器内科（胃腸内科）,0,,
131148,16,東京都,中野区,田郷内科胃腸科医院,タゴウナイカイチョウカイイン,無床診療所,東京都中野区弥生町1-60-5,,35.692886,139.677277,03-3372-0717,,,,,,,,,,,内科;呼吸器科;循環器科;小児科;胃腸科,0,,
131148,17,東京都,中野区,医療法人社団　三心会　中野なおクリニック,イリョウホウジンシャダン　サンシンカイ　ナカノナオクリニック,無床診療所,東京都中野区弥生町2-4-9,ツナシマ第三ビル2F,35.691483,139.676712,03-6379-6021,,,,,,,,,,,内科;麻酔科;心臓血管外科;老年内科;緩和ケア内科,0,,
131148,18,東京都,中野区,医療法人社団心?会　大倉診療所,イリョウホウジンシャダン　シンイカイ　オオクラシンリョウジョ,無床診療所,東京都中野区弥生町2-12-4,さすらビル1階,35.692268,139.675293,03-5351-8388,,,,,,,,,,,漢方内科;精神科,0,,
131148,19,東京都,中野区,きむら眼科,キムラガンカ,無床診療所,東京都中野区弥生町2-12-9,,35.692554,139.675613,03-3370-4855,,,,,,,,,,,眼科,0,,
131148,20,東京都,中野区,溝口医院,ミゾグチイイン,無床診療所,東京都中野区弥生町2-12-9,,35.692554,139.675613,03-3372-0035,,,,,,,,,,,内科;皮膚科;小児科,0,,
131148,21,東京都,中野区,安藤皮フ科美容外科,アンドウヒフカビヨウゲカ,無床診療所,東京都中野区弥生町2-15-17,ニューライフアサヒ202号,35.691467,139.676071,03-5333-5156,,,,,,,,,,,皮膚科;美容外科;美容皮膚科,0,,
131148,22,東京都,中野区,はまだ耳鼻咽喉科,ハマダジビインコウカ,無床診療所,東京都中野区弥生町2-21-11,協和ビル五番館201,35.692497,139.675095,03-5304-7556,,,,,,,,,,,耳鼻咽喉科,0,,
131148,23,東京都,中野区,中島整形外科医院,ナカジマセイケイゲカイイン,無床診療所,東京都中野区弥生町2-22-12,,35.69268,139.67511,03-5351-0377,,,,,,,,,,,外科;整形外科;リハビリ科,0,,
131148,24,東京都,中野区,コスモメディカルクリニック,コスモメディカルクリニック,無床診療所,東京都中野区弥生町2-23-3,松屋ビル3階,35.692642,139.674347,03-6454-1545,,,,,,,,,,,皮膚科;アレルギー科;形成外科,0,,
131148,25,東京都,中野区,医療法人社団博和会　山本クリニック,イリョウホウジンシャダン　ハクワカイ　ヤマモトクリニック,無床診療所,東京都中野区弥生町3-26-3,,35.686501,139.672592,03-3372-0007,,,,,,,,,,,内科;小児科;外科;放射線科;消化器内科（胃腸内科）;呼吸器内科,0,,
131148,26,東京都,中野区,医療法人社団博和会　山本眼科クリニック,イリョウホウジンシャダン　ハクワカイ　ヤマモトガンカクリニック,無床診療所,東京都中野区弥生町3-26-3,3階,35.686501,139.672592,03-3372-6300,,,,,,,,,,,眼科,0,,
131148,27,東京都,中野区,社会医療法人社団健友会　川島診療所,シャカイイリョウホウジンシャダン　ケンユウカイ　カワシマシンリョウジョ,無床診療所,東京都中野区弥生町3-27-11,,35.687668,139.672424,03-3372-4438,,,,,,,,,,,内科;循環器内科;胃腸内科;外科;整形外科;歯科,0,,
131148,29,東京都,中野区,高野整形外科,タカノセイケイゲカ,無床診療所,東京都中野区弥生町4-18-7,1階･2階,35.687347,139.670822,03-3380-6700,,,,,,,,,,,整形外科;リハビリ科;リウマチ科,0,,
131148,30,東京都,中野区,柳田医院,ヤナギダイイン,無床診療所,東京都中野区弥生町4-36-13,,35.689953,139.670563,03-3381-4066,,,,,,,,,,,内科;小児科,0,,
131148,31,東京都,中野区,なかた皮フ科,ナカタヒフカ,無床診療所,東京都中野区弥生町5-3-4,,35.687035,139.666748,03-3382-4112,,,,,,,,,,,皮膚科;アレルギー科,0,,
131148,32,東京都,中野区,原クリニック,ハラクリニック,無床診療所,東京都中野区弥生町5-4-16,藤和中野弥生町コープ103,35.686546,139.667328,03-3381-2711,,,,,,,,,,,内科;外科;胃腸科,0,,
131148,33,東京都,中野区,やなだクリニック,ヤナダクリニック,無床診療所,東京都中野区弥生町6-2-20,弥生ハイツ101,35.686798,139.663193,03-5342-9511,,,,,,,,,,,内科;泌尿器科,0,,
131148,34,東京都,中野区,荘司医院,ソウジイイン,無床診療所,東京都中野区本町1-3-11,,35.692715,139.68309,03-3373-3335,,,,,,,,,,,内科;外科;泌尿器科;リハビリ科,0,,
131148,35,東京都,中野区,白石医院,シライシイイン,無床診療所,東京都中野区本町1-20-6,,35.694416,139.683792,03-3372-2434,,,,,,,,,,,内科;外科;整形外科,0,,
131148,36,東京都,中野区,医療法人社団康翔勝会　堤耳鼻咽喉科医院,イリョウホウジンシャダン　コウショウショウカイ　ツツミジビインコウカイイン,無床診療所,東京都中野区本町2-42-15,1階,35.695679,139.680603,03-3372-4701,,,,,,,,,,,耳鼻咽喉科,0,,
131148,37,東京都,中野区,医療法人社団仁友会　仁友クリニック,イリョウホウジンシャダン　ジンユウカイ　ジンユウクリニック,有床診療所,東京都中野区本町2-45-10,,35.69595,139.682159,03-3372-5121,,,,,,,,,,,内科;呼吸器科;アレルギー科;小児科,1,,
131148,38,東京都,中野区,弥生ファーストクリニック,ヤヨイファーストクリニック,無床診療所,東京都中野区本町2-46-1,サンブライトツインビル3F,35.695965,139.682465,03-3320-7211,,,,,,,,,,,内科;放射線科;消化器内科;循環器内科,0,,
131148,39,東京都,中野区,牧野産婦人科クリニック,マキノサンフジンカクリニック,無床診療所,東京都中野区本町2-46-1,サンブライトツインビル3F,35.695965,139.682465,03-5350-3521,,,,,,,,,,,産婦人科,0,,
131148,40,東京都,中野区,医療法人社団ＷＨＡ　さかうえ整形・形成外科クリニック,イリョウホウジンシャダンWHA　サカウエセイケイ・ケイセイゲカクリニック,無床診療所,東京都中野区本町2-46-1,中野坂上サンブライトツイン3階,35.695965,139.682465,03-5350-3570,,,,,,,,,,,内科;皮膚科;整形外科;形成外科;美容外科;リハビリ科,0,,
131148,41,東京都,中野区,上田眼科,ウエダガンカ,無床診療所,東京都中野区本町2-46-1,中野坂上サンブライトツイン3F,35.695965,139.682465,03-5350-3551,,,,,,,,,,,眼科,0,,
131148,42,東京都,中野区,ハートケア銀河クリニック,ハートケアギンガクリニック,無床診療所,東京都中野区本町2-50-12,フタバビル2F,35.697212,139.680069,03-5371-0909,,,,,,,,,,,内科;神経科;精神科;心療内科,0,,
131148,43,東京都,中野区,頴川医院,エガワイイン,無床診療所,東京都中野区本町2-52-6,,35.695961,139.678268,03-3372-2003,,,,,,,,,,,内科;小児科;産婦人科,0,,
131148,44,東京都,中野区,河崎外科胃腸科,カワサキゲカイチョウカ,無床診療所,東京都中野区本町3-7-5,,35.693493,139.677399,03-3372-0273,,,,,,,,,,,内科;消化器科（胃腸科）;皮膚科;小児科;肛門科;整形外科;放射線科;外科,0,,
131148,45,東京都,中野区,秋吉クリニック,アキヨシクリニック,無床診療所,東京都中野区本町3-20-22,,35.696007,139.675461,03-3378-1600,,,,,,,,,,,内科;循環器科,0,,
131148,46,東京都,中野区,医療法人社団　腎と水　新中野透析クリニック,イリョウホウジンシャダン　ジントミズ　シンナカノトウセキクリニック,無床診療所,東京都中野区本町3-23-3,新中野AM-Ⅰビル 1F,35.696239,139.674088,03-3370-8111,,,,,,,,,,,外科;リハビリテーション科;循環器内科;人工透析内科,0,,
131148,47,東京都,中野区,医療法人社団　統合医療会ナガヤメディカルクリニック,イリョウホウジンシャダン　トウゴウイリョウカイ　ナガヤメディカルクリニック,無床診療所,東京都中野区本町3-29-10,ヴェルディ中野201,35.697517,139.677185,03-5333-4086,,,,,,,,,,,内科;皮膚科;外科;呼吸器科;小児科,0,,旧診療科目：内科;皮膚科;アレルギー科;外科;形成外科;美容外科;呼吸器科;消化器科（胃腸科）
131148,48,東京都,中野区,中野坂上クリニック,ナカノサカウエクリニック,無床診療所,東京都中野区本町3-29-15,MMビル2A,35.697392,139.677856,03-3372-2161,,,,,,,,,,,形成外科;美容外科,0,,
131148,49,東京都,中野区,医療法人社団　慈尚会　やまもと消化器内科クリニック,イリョウホウジンシャダン　ジショウカイ　ヤマモトショウカキナイカクリニック,無床診療所,東京都中野区本町3-31-7,プレジールS 1階,35.697403,139.675858,03-5304-1195,,,,,,,,,,,内科;皮膚科;外科;リハビリテーション科;消化器内科（胃腸内科）,0,,
131148,50,東京都,中野区,寺田内科医院,テラダナイカイイン,無床診療所,東京都中野区本町3-32-22,東ビル2F,35.697578,139.675674,03-3372-8266,,,,,,,,,,,内科;皮膚科,0,,
131148,51,東京都,中野区,重光クリニック,シゲミツクリニック,無床診療所,東京都中野区本町4-1-2,,35.69408,139.674042,03-6385-0242,,,,,,,,,,,内科;外科;肛門科;胃腸科,0,,
131148,52,東京都,中野区,医療法人社団誠船會　船戸耳鼻咽喉科医院,イリョウホウジンシャダン　セイセンカイ　フナトジビインコウカイイン,無床診療所,東京都中野区本町4-21-11,,35.697182,139.67131,03-3381-0716,,,,,,,,,,,耳鼻咽喉科,0,,
131148,53,東京都,中野区,本郷診療所,ホンゴウシンリョウジョ,無床診療所,東京都中野区本町4-26-2,,35.694122,139.670609,03-3381-5456,,,,,,,,,,,内科,0,,
131148,54,東京都,中野区,やまぎしこどもクリニック,ヤマギシコドモクリニック,無床診療所,東京都中野区本町4-45-9,ユニバーサルスクエア新中野2階,35.697361,139.669128,03-3382-2525,,,,,,,,,,,小児科,0,,
131148,55,東京都,中野区,医療法人社団広士会　新中野耳鼻咽喉科クリニック,イリョウホウジンシャダン　コウシカイ　シンナカノジビインコウカクリニック,無床診療所,東京都中野区本町4-45-9,ユニバーサルスクエア新中野3階,35.697361,139.669128,03-5342-2587,,,,,,,,,,,耳鼻いんこう科;漢方内科,0,,
131148,56,東京都,中野区,新中野内科クリニック,シンナカノナイカクリニック,無床診療所,東京都中野区本町4-45-9,ユニバーサルスクエア新中野4階,35.697361,139.669128,03-6382-5270,,,,,,,,,,,内科;消化器内科（胃腸内科）,0,,
131148,57,東京都,中野区,すずむら眼科,スズムラガンカ,無床診療所,東京都中野区本町4-48-17,新中野駅上プラザ 904号,35.697121,139.667877,03-3382-1109,,,,,,,,,,,眼科,0,,
131148,58,東京都,中野区,医療法人社団　なかむら整形外科,イリョウホウジンシャダン　ナカムラセイケイゲカ,無床診療所,東京都中野区本町4-48-21,1F,35.696804,139.668152,03-5341-3500,,,,,,,,,,,整形外科;リハビリテーション科,0,,
131148,59,東京都,中野区,医療法人社団千房会　新中野女性クリニック,イリョウホウジンシャダン　センホウカイ　シンナカノジョセイクリニック,有床診療所,東京都中野区本町4-48-23,1階･2階･3階,35.69677,139.668533,03-3384-3281,,,,,,,,,,,小児科;産科;婦人科,11,,
131148,60,東京都,中野区,オカトミクリニック,オカトミクリニック,無床診療所,東京都中野区本町5-35-8,,35.693802,139.668274,03-3381-0563,,,,,,,,,,,内科;小児科;産婦人科,0,,
131148,61,東京都,中野区,医療法人社団　中村診療所,イリョウホウジンシャダン　ナカムラシンリョウジョ,無床診療所,東京都中野区本町5-39-2,,35.69199,139.668594,03-3381-3797,,,,,,,,,,,内科,0,,
131148,62,東京都,中野区,中野診療所,ナカノシンリョウジョ,無床診療所,東京都中野区本町6-12-13,,35.694855,139.667786,03-3381-0151,,,,,,,,,,,内科;皮膚科;小児科;眼科,0,,
131148,63,東京都,中野区,新中野ＦＫクリニック,シンナカノFKクリニック,無床診療所,東京都中野区本町6-16-12,新中野FKビル5階,35.697285,139.666489,03-3229-2169,,,,,,,,,,,神経科;精神科;心療内科,0,,
131148,64,東京都,中野区,吉田内科クリニック,ヨシダナイカクリニック,無床診療所,東京都中野区本町6-20-17,,35.696709,139.665924,03-5328-2050,,,,,,,,,,,内科;循環器科;小児科,0,,
131148,65,東京都,中野区,医療法人社団浩悠会　田沼内科・小児科医院,イリョウホウジンシャダン　コウユウカイ　タヌマナイカ・ショウニカイイン,無床診療所,東京都中野区本町6-23-3,,35.695431,139.664429,03-3380-2622,,,,,,,,,,,内科;小児科,0,,
131148,67,東京都,中野区,セイメイ内科,セイメイナイカ,無床診療所,東京都中野区中央1-25-5,MKマンション106,35.701508,139.685806,03-5389-2972,,,,,,,,,,,内科;循環器科,0,,
131148,69,東京都,中野区,医療法人社団燦燦会　中野サンクリニック,イリョウホウジンシャダン　サンサンカイ　ナカノサンクリニック,無床診療所,東京都中野区中央1-32-7,ユニーブル中野坂上1階,35.698101,139.684235,03-6908-8030,,,,,,,,,,,内科,0,,
131148,70,東京都,中野区,渡辺整形外科・外科・内科,ワタナベセイケイゲカ・ゲカ・ナイカ,無床診療所,東京都中野区中央2-2-3,,35.697239,139.681854,03-3361-1770,,,,,,,,,,,内科;外科;整形外科;乳腺外科;消化器内科（胃腸内科）,0,,
131148,71,東京都,中野区,おがた皮フ科クリニック,オガタヒフカクリニック,無床診療所,東京都中野区中央2-2-31,中野NSBビル6F,35.697567,139.682816,03-3366-4112,,,,,,,,,,,皮膚科,0,,
131148,72,東京都,中野区,せき眼科,セキガンカ,無床診療所,東京都中野区中央2-2-31,中野NSB4階,35.697567,139.682816,03-3361-7665,,,,,,,,,,,眼科,0,,
131148,73,東京都,中野区,医療法人社団虹耀会　中野坂上米沢医院,イリョウホウジンシャダン　コウヨウカイ　ナカノサカウエヨネザワイイン,無床診療所,東京都中野区中央2-4-3,ホーメイビルディング102号,35.697411,139.680283,03-3365-2727,,,,,,,,,,,内科;皮膚科;小児科;消化器内視鏡科,0,,
131148,74,東京都,中野区,くすのき診療所,クスノキシンリョウジョ,無床診療所,東京都中野区中央2-7-8,103,35.698387,139.681519,03-3361-0072,,,,,,,,,,,内科;外科;脳神経外科;リハビリ科,0,,
131148,75,東京都,中野区,塔ノ山医院,トウノヤマイイン,有床診療所,東京都中野区中央2-14-9,,35.699936,139.681839,03-3371-7106,,,,,,,,,,,内科;皮膚科;リウマチ科;小児科;リハビリ科,3,,
131148,76,東京都,中野区,渡辺眼科医院,ワタナベガンカイイン,無床診療所,東京都中野区中央2-49-8,,35.698391,139.67572,なし,,,,,,,,,,,眼科,0,,
131148,77,東京都,中野区,徳山医院,トクヤマイイン,無床診療所,東京都中野区中央2-50-11,,35.699375,139.675858,03-3369-1895,,,,,,,,,,,内科,0,,
131148,78,東京都,中野区,中野中央クリニック,ナカノチュウオウクリニック,無床診療所,東京都中野区中央2-59-18,ジャロックビル2F,35.701641,139.677002,03-5332-5429,,,,,,,,,,,内科;小児科;リハビリ科,0,,
131148,79,東京都,中野区,みやびハート＆ケアクリニック,ミヤビハートアンドケアクリニック,無床診療所,東京都中野区中央3-35-4,ナビウス新中野1階EAST,35.698208,139.670959,03-5385-3880,,,,,,,,,,,内科;循環器内科;緩和ケア内科;糖尿病内科;内分泌内科;精神科,0,,
131148,80,東京都,中野区,医療法人社団優祉会　新中野皮膚科クリニック,イリョウホウジンシャダン　ユウシカイ　シンナカノヒフカクリニック,無床診療所,東京都中野区中央4-1-3,ボニータ新中野2階部分 201号室,35.697628,139.67038,03-5342-1560,,,,,,,,,,,皮膚科;形成外科;アレルギー科;小児皮膚科;美容皮膚科,0,,
131148,81,東京都,中野区,頭とからだのクリニック　かねなか脳神経外科,アタマトカラダノクリニック　カネナカノウシンケイゲカ,無床診療所,東京都中野区中央4-4-2,ヘリオス6号ビル,35.697586,139.668854,03-6382-4880,,,,,,,,,,,脳神経外科;リハビリテーション科;放射線科;リウマチ科,0,,診療所の場所（立て替え）を変更
131148,82,東京都,中野区,メディカル新中野,メディカルシンナカノ,無床診療所,東京都中野区中央4-5-2,ブルースカイ新中野1階,35.697552,139.667862,03-3383-3454,,,,,,,,,,,内科;小児科,0,,
131148,83,東京都,中野区,ネクストクリニック,ネクストクリニック,無床診療所,東京都中野区中央5-4-22,JHV中野ビル2階,35.698803,139.667465,03-6382-8808,,,,,,,,,,,内科;皮膚科;心療内科,0,,
131148,84,東京都,中野区,なまため眼科,ナマタメガンカ,無床診療所,東京都中野区中央5-15-4,MARINOビル 1F,35.697529,139.663803,03-6304-8698,,,,,,,,,,,眼科,0,,
131148,85,東京都,中野区,やまさき内科クリニック,ヤマサキナイカクリニック,無床診療所,東京都中野区中央5-39-13,シャトレソレイユ1階,35.700527,139.667099,03-3380-7777,,,,,,,,,,,内科;呼吸器内科;アレルギー科;糖尿病内科（代謝内科）;内分泌内科,0,,
131148,86,東京都,中野区,あしかりクリニック,アシカリクリニック,無床診療所,東京都中野区中央5-44-9,,35.700466,139.665115,03-3380-3272,,,,,,,,,,,精神・神経科;心療内科,0,,
131148,87,東京都,中野区,中村外科医院,ナカムラゲカイイン,無床診療所,東京都中野区東中野1-6-6,,35.701778,139.684494,03-3368-1374,,,,,,,,,,,皮膚科;外科;泌尿器科;肛門科;整形外科;麻酔科;胃腸科;乳腺外科,0,,
131148,88,東京都,中野区,菖医院,アヤメイイン,無床診療所,東京都中野区東中野1-25-9,,35.70364,139.685593,03-6754-5400,,,,,,,,,,,内科;皮膚科;心療内科,0,,
131148,89,東京都,中野区,医療法人社団　功恵会　武藤耳鼻いんこう科医院,イリョウホウジンシャダン　コウケイカイ　ムトウジビインコウカイイン,無床診療所,東京都中野区東中野1-35-21,1階,35.704472,139.68544,03-3361-4023,,,,,,,,,,,耳鼻咽喉科,0,,
131148,90,東京都,中野区,木村内科,キムラナイカ,無床診療所,東京都中野区東中野1-37-11,,35.704456,139.686279,03-3361-1114,,,,,,,,,,,内科;小児科,0,,
131148,91,東京都,中野区,近藤泌尿器科内科クリニック,コンドウヒニョウキカナイカクリニック,無床診療所,東京都中野区東中野1-51-1,JR東中野駅東口ビル3F,35.706009,139.686325,03-3362-1777,,,,,,,,,,,内科;泌尿器科,0,,
131148,92,東京都,中野区,医療法人社団仁医会　東中野クリニック,イリョウホウジンシャダン　ジンイカイ　ヒガシナカノクリニック,無床診療所,東京都中野区東中野1-58-12,,35.706108,139.683578,03-3361-2732,,,,,,,,,,,内科;神経内科,0,,
131148,93,東京都,中野区,太田皮膚科,オオタヒフカ,無床診療所,東京都中野区東中野1-59-9,アトリエビル201,35.705734,139.682846,03-3361-4581,,,,,,,,,,,皮膚科,0,,
131148,94,東京都,中野区,武医院,タケイイン,無床診療所,東京都中野区東中野1-59-14,,35.705673,139.683319,03-3368-8597,,,,,,,,,,,皮膚科;小児科;外科;リハビリ科,0,,
131148,95,東京都,中野区,医療法人社団敬裕会　高田整形外科クリニック,イリョウホウジンシャダン　ケイユウカイ　タカダセイケイゲカクリニック,無床診療所,東京都中野区東中野2-27-7,メディカルコートタカダ1F,35.705921,139.681351,03-3366-5621,,,,,,,,,,,整形外科;形成外科;リハビリ科;放射線科,0,,
131148,96,東京都,中野区,高田皮膚科クリニック,タカダヒフカクリニック,無床診療所,東京都中野区東中野2-27-7,メディカルコートタカダ2F 205号,35.705921,139.681351,03-3366-5620,,,,,,,,,,,皮膚科;形成外科,0,,
131148,97,東京都,中野区,医療法人社団慶池会　メディカルコート池田耳鼻咽喉科,イリョウホウジンシャダン　ケイチカイ　メディカルコートイケダジビインコウカ,無床診療所,東京都中野区東中野2-27-7,メディカルコートI202号,35.705921,139.681351,03-3366-5622,,,,,,,,,,,耳鼻咽喉科,0,,
131148,98,東京都,中野区,山下眼科,ヤマシタガンカ,無床診療所,東京都中野区東中野2-28-14,メディカルコートⅡ 101号,35.706055,139.681198,03-5331-3370,,,,,,,,,,,眼科,0,,
131148,99,東京都,中野区,長澤内科,ナガサワナイカ,無床診療所,東京都中野区東中野2-28-14,メディカルコートⅡ202,35.706055,139.681198,03-3362-5695,,,,,,,,,,,内科;小児科;外科;麻酔科,0,,
131148,100,東京都,中野区,渡辺医院,ワタナベイイン,有床診療所,東京都中野区東中野3-2-16,,35.706703,139.68129,03-3362-9171,,,,,,,,,,,内科,8,,
131148,102,東京都,中野区,いたや内科クリニック,イタヤナイカクリニック,無床診療所,東京都中野区東中野3-8-9,東中野医療ビル2F,35.707489,139.682556,03-3366-3300,,,,,,,,,,,内科;循環器内科;糖尿病内科（代謝内科）,0,,
131148,103,東京都,中野区,やはぎ皮フ科クリニック,ヤハギヒフカクリニック,無床診療所,東京都中野区東中野3-8-9,東中野医療ビル3階,35.707489,139.682556,03-3366-1112,,,,,,,,,,,皮膚科;アレルギー科;小児皮膚科;小児科,0,,旧診療科目：皮膚科;アレルギー科;小児皮膚科;小児科
131148,104,東京都,中野区,医療法人社団陽輝会　河合眼科医院,イリョウホウジンシャダン　ヨウキカイ　カワアイガンカイイン,無床診療所,東京都中野区東中野3-8-13,MSR東中野4階,35.707405,139.683136,03-5937-2157,,,,,,,,,,,眼科,0,,
131148,105,東京都,中野区,あおきクリニック,アオキクリニック,無床診療所,東京都中野区東中野3-8-13,MSR東中野地下1階,35.707405,139.683136,03-5348-2533,,,,,,,,,,,神経科;精神科;心療内科,0,,
131148,106,東京都,中野区,医療法人社団　中山レディスクリニック,イリョウホウジンシャダン　ナカヤマレディスクリニック,有床診療所,東京都中野区東中野3-9-14,,35.708042,139.682541,03-3371-2676,,,,,,,,,,,産婦人科,3,,
131148,107,東京都,中野区,新井クリニック,アライクリニック,無床診療所,東京都中野区東中野3-10-12,石川デンタルビル3F,35.708282,139.683533,03-5331-3383,,,,,,,,,,,内科;循環器科;消化器科,0,,
131148,108,東京都,中野区,後藤クリニック,ゴトウクリニック,無床診療所,東京都中野区東中野3-11-6,誠屋ビル2階,35.708134,139.682129,03-3371-6665,,,,,,,,,,,神経科;精神科;心療内科,0,,
131148,109,東京都,中野区,落合中野眼科,オチアイナカノガンカ,無床診療所,東京都中野区東中野3-16-23,アーサメジャー,35.709911,139.682632,03-6908-5316,,,,,,,,,,,眼科,0,,
